patch,agent,pre_patch_matches,post_patch_matches,old_delta,blops_delta,model_a_error,model_b_error,model_c_error
12.07,Iso,1,3,0.0,0.0,47.966043234245085,48.0198708799488,48.0198708799488
12.07,Sage,9,4,0.0,0.0,51.7868571275458,51.696353548584476,51.696353548584476
12.07,Deadlock,1,2,0.0,0.0,24.27486944586306,24.298046826119034,24.298046826119034
12.07,Gekko,0,2,0.0,0.0,8.461437891328657,9.02442787172457,9.02442787172457
12.07,Reyna,0,1,0.0,0.0,40.05689283337776,40.05689283337776,40.05689283337776
12.07,Yoru,0,2,0.0,0.0,27.062248202233064,27.26658859949717,28.092612505693822
12.08,Vyse,45,67,0.0,0.0,28.32010428254973,28.32051107101002,28.32051107101002
12.08,Neon,176,230,0.0,0.0,35.78263461194071,35.80550890374414,35.80550890374443
12.08,Chamber,27,42,0.0,0.0,29.39315438567462,29.436443619662246,29.436443619662246
12.08,Omen,129,206,0.0,0.0,32.495084833722565,32.47222745658554,32.47222745659431
12.08,Fade,85,123,0.0,0.0,32.13695483821723,32.12121392198892,32.121213921991725
12.08,Sova,54,115,0.0,0.0,30.43289012397042,30.439116312516113,30.439507289204958
12.08,Cypher,46,82,0.0,0.0,31.001914119250458,31.043841331573027,31.043841331877207
12.08,Jett,17,71,0.0,0.0,34.70069744685387,34.811963032115756,34.81196303204758
12.08,Waylay,36,30,0.0,0.0,31.77923630191272,31.793688884180536,31.775377538560278
12.08,Viper,90,118,0.0,0.0,32.11021866832179,32.08527753900014,32.08795893706234
12.08,Astra,25,55,0.0,0.0,28.4927773270477,28.478446814532703,28.478446814532703
12.08,Raze,44,69,0.0,0.0,34.06375727938798,34.0074144384231,34.00741443843228
12.08,Skye,44,50,0.0,0.0,26.921153828954292,26.864612109354162,26.89802459523877
12.08,Phoenix,27,88,0.0,0.0,31.060504480368987,31.113292297767977,31.113292297767977
12.08,Brimstone,39,17,0.0,0.0,40.765150497119,40.773713981612744,40.773713981612744
12.08,Breach,20,7,0.0,0.0,45.53036983238133,45.49285146110263,45.49285146110263
12.08,Harbor,6,22,0.0,0.0,41.64229162059564,41.62110831166411,41.62110831166411
12.08,Kayo,8,28,0.0,0.0,27.129191202007252,27.142771323657232,27.142771323657232
12.08,Tejo,17,15,0.0,0.0,40.379385783015664,40.45654151668867,40.45654151668867
12.08,Killjoy,18,19,0.0,0.0,26.313913776559072,26.410260435798545,26.411293394643977
12.08,Veto,5,2,0.0,0.0,92.43958459943639,92.23232327474419,92.23232327474419
12.08,Sage,4,11,0.0,0.0,24.46399444049141,24.56147924087659,24.56147924087659
12.08,Deadlock,2,1,0.0,0.0,11.297796590912412,11.398708918054979,11.398708918054979
12.08,Yoru,2,2,0.0,0.0,25.07546310516132,25.418964474067437,25.221719165363822
